name,link,price,postage,brand,metadescription,description,criteria,category,pageviews,unique_pageviews,time_on_page,articles_sold,unique_sales,total_revenue,average_revenue
"Kopfkissen Bio Lotus Natural®, Bio-Baumwolle kbA, Füllung Kapokfaser",/128594-kopfkissen-bio-lotus-natural-r-bio-baumwolle-kba-fuellung-kapokfaser-lotus-natural-r?variant_id=932804,"
24,77
€
","
Versand 5,95 €
/
Versandkostenfrei ab 90,00 €
",Lotus Design,"Bio Kopfkissen befüllt mit Kapok; Kapok Schlafkissen, Baumwolle kbA mit Reißverschluss, Kapokfüllung Wildwuchs","
Kopfkissen Bio Lotus Natural®, Bio-Baumwolle kbA, Füllung Kapokfaser
Weiches und anschmiegsames Bio Schlafkissen mit 100 % Kapokfaser aus Wildwuchs befüllt. Kapokfaser hat eher eine geringe Stützfunktion, zeichnet sich dafür aber durch eine hervorragende Bauschqualität sowie sehr gute Durchlüftungseigenschaft aus. Menschen, die einen natürlichen Füllstoff bevorzugen und Probleme mit dem Rascheln von Spelzkissen haben, finden in der Kapokfüllung eine gute Alternative. Das Inlett aus fein gewebtem 100 % kbA Baumwolle-Stoff hat einen Reißverschluss, über den die Füllmenge individuell angepasst werden kann. Der GOTS zertifizierte Baumwollstoff stammt von einem deutschen Hersteller. Der Kapok stammt aus Wildsammlung in Asien.
","
Avocadostore-Kriterien
Rohstoffe aus Bioanbau
Der Baumwolle-Köper-Stoff aus 100 % Bio-Baumwolle ist GOTS zertifiziert. Die Kapok-Füllung stammt aus Wildwuchs.
Fair & Sozial
Unsere Bio-Kopfkissen Lotus Natural® werden in anerkannten Behindertenwerkstätten in NRW genäht. Das Befüllen und Versenden erfolgt in unserem anerkannten Inklusionsunternehmen in Köln. Der Anteil von Mitarbeitern mit Behindertenausweis liegt bei uns bei 50 %. 
Made in Germany
Sowohl das Nähen als auch das Befüllen, Verpacken und Versenden unserer Bio-Kopfkissen Lotus Natural® erfolgt in Deutschland.
Ressourcenschonend
Unsere Bio-Kopfkissen Lotus Natural® bestehen – abgesehen von den Reißverschlüssen – aus nachwachsenden Rohstoffen aus biologischem Anbau. Somit schonen diese Produkte Natur und Umwelt.
",wohnen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geschirrtuch aus Halbleinen mit Bio-Baumwolle 50 x 70 cm,/201249-geschirrtuch-aus-halbleinen-mit-bio-baumwolle-50-x-70-cm-aspegren?variant_id=1560821,"
10,23
€
","
Versand 3,95 €
/
Versandkostenfrei ab 50,00 €
",KONTOR 1710,"Geschirrtuch aus Bio-Baumwolle & Leinen fusselfrei, perfekt zum Polieren tolle nordische Farben Standard 100 Oeko-Tex","
Geschirrtuch aus Halbleinen mit Bio-Baumwolle 50 x 70 cm
Mit dem Geschirrtuch des dänischen Labels Aspegren schenken Sie Ihrem Geschirr und Besteck eine besonders sanfte Pflege beim Abtrocknen und Polieren. Durch die feine Mischung aus 45% Bio-Baumwolle und 55% Leinen ist das Tuch  fusselfrei und saugfähiger als ein reines Leinentuch. 
Um die volle Kraft des Tuches zu nutzen, waschen Sie das Tuch bitte vor der ersten Nutzung und weichen Sie es vor dem ersten Waschgang zusätzlich über 12 Stunden in kaltem Wasser ein. Bitte nutzen Sie keinen Weichspüler, da dieser die Aufnahmefähigkeit des Tuchs vermindern kann.
 Material: 55% Bio-Baumwolle, 45% Leinen Standard 100 by OEKO-TEX
 Größe: 50 x 70 cm
EAN
5711843039120
","
Avocadostore-Kriterien
Rohstoffe aus Bioanbau
Die Baumwolle stammt aus biologischem Anbau.
Ressourcenschonend
Bio-Baumwolle benötigt erheblich weniger Wasser als konventionell angebaute Baumwolle. Dies ist auf den natürlichen Dünger zurückzuführen, der langfristig den Humusanteil im Boden und damit die Speicherkapazität von Wasser erhöht.
Schadstoffreduzierte Herstellung
Beim Anbau von Bio-Baumwolle werden ausschließlich natürliche Schädlingsbekämpfungsmittel verwendet. Das Standard 100 Oeko-Tex Zertifikat sichert insgesamt beim Tuch außerdem hohe Anforderungen an die Weiterverarbeitung der Rohstoffe, sodass nur Hilfsmittel und Stoffe zum Einsatz kommen, die laut Standard unbedenklich sind.
",wohnen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geschirrtuch aus Halbleinen mit Bio-Baumwolle 50 x 70 cm,/201249-geschirrtuch-aus-halbleinen-mit-bio-baumwolle-50-x-70-cm-aspegren?variant_id=1560818,"
10,23
€
","
Versand 3,95 €
/
Versandkostenfrei ab 50,00 €
",KONTOR 1710,"Geschirrtuch aus Bio-Baumwolle & Leinen fusselfrei, perfekt zum Polieren tolle nordische Farben Standard 100 Oeko-Tex","
Geschirrtuch aus Halbleinen mit Bio-Baumwolle 50 x 70 cm
Mit dem Geschirrtuch des dänischen Labels Aspegren schenken Sie Ihrem Geschirr und Besteck eine besonders sanfte Pflege beim Abtrocknen und Polieren. Durch die feine Mischung aus 45% Bio-Baumwolle und 55% Leinen ist das Tuch  fusselfrei und saugfähiger als ein reines Leinentuch. 
Um die volle Kraft des Tuches zu nutzen, waschen Sie das Tuch bitte vor der ersten Nutzung und weichen Sie es vor dem ersten Waschgang zusätzlich über 12 Stunden in kaltem Wasser ein. Bitte nutzen Sie keinen Weichspüler, da dieser die Aufnahmefähigkeit des Tuchs vermindern kann.
 Material: 55% Bio-Baumwolle, 45% Leinen Standard 100 by OEKO-TEX
 Größe: 50 x 70 cm
EAN
5711843039106
","
Avocadostore-Kriterien
Rohstoffe aus Bioanbau
Die Baumwolle stammt aus biologischem Anbau.
Ressourcenschonend
Bio-Baumwolle benötigt erheblich weniger Wasser als konventionell angebaute Baumwolle. Dies ist auf den natürlichen Dünger zurückzuführen, der langfristig den Humusanteil im Boden und damit die Speicherkapazität von Wasser erhöht.
Schadstoffreduzierte Herstellung
Beim Anbau von Bio-Baumwolle werden ausschließlich natürliche Schädlingsbekämpfungsmittel verwendet. Das Standard 100 Oeko-Tex Zertifikat sichert insgesamt beim Tuch außerdem hohe Anforderungen an die Weiterverarbeitung der Rohstoffe, sodass nur Hilfsmittel und Stoffe zum Einsatz kommen, die laut Standard unbedenklich sind.
",wohnen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feueranzünder,/41162-feueranzuender-if-you-care-iyc,"
2,90
€
(8,89€/100stück)
","
Versand 4,90 €
/
Versandkostenfrei ab 100,00 €
",promavis,ideal für Holzkohlegrill oder Kachelöfen,"
Feueranzünder
Feueranzünder aus FSC zertifiziertem Holz
Die If You Care Feueranzünder bestehend aus FSC- zertifizierten Holz
Alle eingesetzten Rohstoffe bestehen zu 100% aus erneuerbaren Ressourcen. 
Die Feueranzünder eignen sich ideal für Holzkohlegrills, Lagerfeuer, Kachelöfen oder Brennholzfeuerstellen.
Inhalt: 28 Stück in Würfelform
Material
Holz aus FSC-zertifizierten Wäldern
100% gentechnikfreies Pflanzenöl
100% ohne Erdöl
100% erneuerbare Ressourcen
in Europa hergestellt 
Ungiftige pflanzliche Druckfarben und Leime
Karton 100% recycelbar
Über If You Care
Die ersten If You Care Produkte wurden 1990 ins Leben gerufen
Unsere Aufgabe war es immer, umweltfreundliche Produkte für Küche und Haushalt zu entwickeln. 
If You Care steht für umweltfreundliche und nachhaltige Küchen und Haushaltshilfen.
Angebotsbeschreibung
Feueranzünder in Würfeln aus Holz und Pflanzenöl
","
Avocadostore-Kriterien
Recycelt & Recyclebar
Karton 100% recyclebar
Ressourcenschonend
Holz aus fsc zertifizierten Wäldern, 
100% erneuerbare Ressourcen in Europa hergestellt.
Schadstoffreduzierte Herstellung
100% ohne Erdöl
",wohnen,463.0,29.0,191.0,71.0,22.0,0.0,38.0
Duschseife Milchsamt BIO - mit Kokosmilch,/186601-duschseife-milchsamt-bio-mit-kokosmilch-asavo-1,"
7,95
€
(8,37)
","
Versand 5,90 €
/
Versandkostenfrei ab 100,00 €
",ASAVO,"Duschseife Milchsamt - handgemachte, vegane Kokosmilchseife aus der ASAVO Manufaktur zum plastikfreien Duschen für sensible Haut","
Duschseife Milchsamt BIO - mit Kokosmilch
Basisch, entlastend & natürlich: 
Naturseife zur sanften Reinigung, mit veganer Kokosmilch (duftet NICHT nach Kokos), Bio-Seife auf rein pflanzlicher Bio-Ölbasis, mit feinster Karitébutter, kaltgepresstem Oliven-, Kokos- und Rizinusöl.
Rückfettend & mild: 
Milchseife mit Kokosmilch & Sheabutter, enthält die perfekte Kombination aus pflanzlichen Ölen, erzeugt einen milden Schaum, der Feuchtigkeit spendet und rückfettet. Besonders geeignet für empfindliche Haut, ohne Duftzusätze
Schön & unkompliziert: 
Die ASAVO Duschseife Milchsamt ist eine universelle Block-Seife für Haut und Hände, als Duschseife und Handseife nutzbar, mit honigartigem Duft, sowohl für Frauen als auch Männer geeignet.
Handgemacht & traditionell in unserer Seifenmanufaktur hergestellt: 
Das schonende Kaltverseifungsverfahren und ausreichende Reifung, ca. 10%ige Überfettung und das natürliche noch enthaltene pflanzliche Glycerin in der Seife sorgen für natürliche und gepflegt aussehende Haut.
Vegan, bio, ohne Palmöl & umweltfreundlich: 
Die pflanzlichen Öle stammen aus nachhaltigem und kontrolliert biologischem Anbau. Naturseife ist sehr gut biologisch abbaubar und enthält keine PEG-Derivate, Phthalate oder synthetische Zusätze
Gewicht: 95 g pro Stück
Maße: 85 x 60 x 23mm
Ingredients / Inhaltsstoffe: Olea Europaea Fruit Oil (Olivenöl)*, Cocos Nucifera Oil (Kokosöl)*, Aqua, Butyrospermum Parkii Butter (Karité-/Sheabutter)*, Sodium Hydroxide (Lauge zur Verseifung, entspricht den Anforderungen als Lebensmittelzusatzstoff), Cocos Nucifera Fruit Juice Powder (Kokosnussmilch)* Ricinus Communis Seed Oil (Rizinusöl)*
* aus kontrolliert biologischem Anbau
** aus 100% naturreinen ätherischen Bio-Ölen
","
Avocadostore-Kriterien
Rohstoffe aus Bioanbau
Wir setzen nicht nur auf natürliche pflanzliche Rohstoffe, sondern verwenden Rohstoffe aus Bio-Qualiät. Bei der Bio-Landwirtschaft wird auf den Einsatz von chemischen Pflanzenschutzmitteln und Gentechnik verzichtet. Das ist zwar teuer, schont aber die Umwelt.
Fair & Sozial
Wir sind eine familiengeführte Manufaktur und uns sind nicht nur die Produkte wichtig, sondern auch die Menschen, die bei der Herstellung beteiligt sind. Nur gemeinsam und mit viel Herzblut schaffen wir es, hervorragende Produkte für Sie herzustellen.
Made in Germany
Unsere Produkte werden von Hand in unserer Manufaktur in der Nähe von München in Oberbayern gefertigt.
CO₂-Sparend
 Wir vermeiden lange Transportwege und versuchen durch unsere manuelle Herstellung den Energieverbrauch auf ein Minimum zu reduzieren.  
Vegan
Wir verzichten auf den Einsatz tierischer Produkte und verwenden stattdessen pflanzliche Alternativen. Zudem setzen wir kein Palmöl in unseren Produkten ein.
Recycelt & Recyclebar
Unsere Seifen sind biologisch abbaubar.
",wohnen,188.0,922.0,372.0,72.0,48.0,87.0,28.0
Bio Schoko-Kürbis Zartbitter,/49787-bio-schoko-kuerbis-zartbitter-landgarten,"
2,49
€
(4,98/100g)
","
Versand 4,90 €
/
Versandkostenfrei ab 100,00 €
",promavis,Bio Landgarten Bio Schoko-Kürbis Zartbitter Vegan in Bio Qualität Gluten und Gentechnikfrei.,"
Bio Schoko-Kürbis Zartbitter
Bio Schoko-Kürbis Zartbitter 50g          DE-ÖKO-007
Ein Kuss der zarten Verführung… geröstete Kürbiskerne umhüllt von feinster Zartbitterschokolade.
Die gerösteten Kerne von steirischem Bio-Kürbis sind mit Zartbitter-Schokolade überzogen. Der edelherbe Geschmack ist unvergleichbar und lässt das Herz jedes Schokotigers höher schlagen. Gib deinem Körper, was er verdient!
GEWICHT 50g 
- Premium Bio-Qualität
- Glutenfrei & ohne Gentechnik
- Reich an Eiweiß, Ballaststoffen und Magnesium
- Fettfrei geröstet
- Rohstoffe aus eigener Landwirtschaft
- reich an Magnesium
- Vegan 
INHALTSSTOFFE 
Zartbitterschokolade* 65% (Kakaomasse*, Rohrzucker*, Kakaobutter*, Kakaopulver stark entölt*, Emulgator: Sojalecithin), Kürbiskerne* 31%, Dextrose*, Überzugsmittel: Gummi Arabicum*, Zucker*, Meersalz. * aus kontrolliert biologischem Anbau Kakao: Zartbitter 62% mind. (in der Schokolade) Kann Spuren von Nüssen und Milch enthalten.       
NÄRHWERTE 
Brennwert/Energie: 551 kcal/2290 kJ; Fett: 38,9 g – davon gesättigte Fettsäuren:          
PRO 100G
18,3 g; Kohlenhydrate: 31,2 g – davon Zucker: 28,1 g; Ballaststoffe: 7,5 g; Eiweiß: 15,3 g; Salz: 0,12 g: BE 2,6 Calcium: 41,1 mg 5 % RDA Magnesium: 295,2 mg 79 % RDA Eisen: 11,3mg 81 % RDA Zink: 3,6 mg 36 % RDA Phosphor: 654,4 mg 93 % RDA       
Angebotsbeschreibung
Bio-Schoko Kürbis Zartbitter Vegan und Glutenfrei von Landgarten.
","
Avocadostore-Kriterien
Rohstoffe aus Bioanbau
Rohstoffe aus eigener Landwirtschaft in Premium Bio-Qualität.
Vegan
Vegan, Gluten- und Gentechnikfrei.
",wohnen,466.0,882.0,653.0,52.0,83.0,97.0,90.0
Saatgutkonfetti - kompostierbares Konfetti das Saatgut 24 heimischer (Wild-)Pflanzenarten enthält,/208453-saatgutkonfetti-kompostierbares-konfetti-das-saatgut-24-heimischer-wild-pflanzenarten-enthaelt-saatgutkonfetti?variant_id=1697669,"
4,95
€
(0,50/Gramm)
","
Versand 3,50 €
",Saatgutkonfetti,Saatgutkonfetti - kompostierbares Konfetti das als Trägermaterial für das Saatgut von bis zu 24 heimischen Pflanzenarten dient.,"
Saatgutkonfetti - kompostierbares Konfetti das Saatgut 24 heimischer (Wild-)Pflanzenarten enthält
Saatgutkonfetti - kompostierbares Konfetti das als Trägermaterial für
das Saatgut von bis zu 24 heimischen Pflanzenarten dient.
Das Saatgut und somit auch das Konfetti ist ausschließlich für den Einsatz in Siedlungsgebieten bestimmt.
Die enthaltenen Pflanzen sind Lichtkeimer und müssen daher nicht eingegraben
werden. Zudem ist die Verwendung jahreszeitenunabhängig möglich, da einige
Pflanzen z.B. eine Frostperiode benötigen um zu keimen.
Die Saatgutmischung ist speziell darauf ausgelegt, Heimat und Nahrung für
(Wild-)Bienen, weitere Insekten und Kleintiere zu bieten.
Zu Färbung nutzen wir ausschließlich natürliche Farbstoffe. 100% Vegan.
Angebotsbeschreibung
10 Gramm kompostierbares Konfetti mit Saatgut von bis zu 24 heimischen (Wild-)Pflanzenarten. 
Bunt, bio, vegan + in Manufaktur selbst produziert.
","
Avocadostore-Kriterien
Rohstoffe aus Bioanbau
Alle enthaltenen Rohstoffe sind vegan und biozertifiziert!
Made in Germany
Wir produzieren Saatgutkonfetti selbst in Deutschland, genauer gesagt in Kassel.
Vegan
Saatgutkonfetti samt aller enthaltener Rohstoffe ist vegan. 
Recycelt & Recyclebar
Saatgutkonfetti ist vollständig kompostierbar. Beim Auswurf bleiben am Ende nur die Pflanzen sichtbar zurück. Alle anderen Bestandteile werden abgebaut und dem Nährstoffkreislauf zugeführt.
",wohnen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spork – Bambus Mini-Besteck für unterwegs,/96254-spork-bambus-mini-besteck-fuer-unterwegs-bambu,"
2,95
€
","
Versand 3,89 €
/
Versandkostenfrei ab 49,00 €
",Laguna,"Perfekt für jede Reise mit begrenztem Gepäck oder für das Picknick um die Ecke. Praktisch, klein, wiederverwendbar und hochwertig.","
Spork – Bambus Mini-Besteck für unterwegs
Spork – Mini-Besteck –  Ideal für jeden Ausflug
Eigenschaften:
    Super leicht und stärker als anderes Holz
    Aus einem Stück gearbeitet
    Haltbarer als Hartholz
    Von Natur aus antibakteriell und Schmutzabweisend
    Oberfläche vollendet mit lebensmittelechtem Pflanzenöl
Länge: ca. 9 cm
Um unsere Umwelt nicht unnötig zu belasten, verzichten wir, wenn möglich auf einzelne Verpackungstüten. Jedoch abhängig von Produkt und Großhändler ist das aber nicht immer möglich, da größere Lieferwege mit Kunststoff-Schutzverpackungen aufgrund der Packgröße und des Gewichtes ökologischer sind.
","
Avocadostore-Kriterien
Fair & Sozial
Dieses Produkt wird fair gehandelt.
Haltbar
Dieses Produkt wird aus langlebigem robustem und schnell nachwachsendem Bambusholz gefertigt. 
",wohnen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3er Vorratspack Lemongras Seife – Naturkosmetik zertifiziert - biologisch abbaubar,/198723-3er-vorratspack-lemongras-seife-naturkosmetik-zertifiziert-biologisch-abbaubar-hydrophil,"
13,90
€
(€4,63/100g)
","
Versand 5,95 €
/
Versandkostenfrei ab 350,00 €
",GARY MASH,Unser Seifenklassiker – palmölfrei – biologisch abbaubar – für Körper und Haare geeignet – handgefertigt – 80g Frischegewicht,"
3er Vorratspack Lemongras Seife – Naturkosmetik zertifiziert - biologisch abbaubar
3er Vorratspack unserer handgemachten Lemongras Seife.
Unsere wohlriechende Lemongras Seife beinhaltet bestes Öl aus Oliven, Kokosnüssen & Sonnenblumen, sowie Sheabutter. Der Lemongrass-Anteil sorgt dafür, dass Du nicht nur saubere Hände bekommst, sondern diese auch noch wunderbar frisch duften. Die Seife wird von Hand vor den Toren von Hamburg hergestellt & liebevoll einzeln verpackt. Sie kommt zu Dir im schönen Recycling Karton. Natürlich wie immer wasserneutral, vegan & fair.
INHALTSSTOFFE
HELIANTHUS ANNUUS SEED OIL*, AQUA, SODIUM HYDROXIDE, OLEA EUROPAEA FRUIT OIL*, COCOS NUCIFERA OIL*, BUTYROSPERMUM PARKII BUTTER*,CYMBOPOGON FLEXUOSUS HERB OIL*, CITRAL**, GERANIOL**, D-LIMONENE**, LINALOOL**, CITRONELLOL**, ISOEUGENOL**
*Rohstoffe aus kontrolliert biologischem Anbau (kbA)
Alle Seifen sind frei von Palmöl, synthetischen Farbstoffen oder Duftstoffen, Parabenen, erdölbasierte Inhaltsstoffe, Alkohol, Natriumlaurethsulfat oder tierische Produkten. 
Des Weiteren sind unsere Seifen GVO-und glutenfrei. Die Verpackung ist recycelbar, kompostierbar, wiederverwendbar und frei von Kunststoffen.
80g (Grundpreis: 6,13 €/100g
","
Avocadostore-Kriterien
Rohstoffe aus Bioanbau
Die Herstellung der handgefertigten Seife bietet die große Chance einer nachhaltigen & Ressourcen schonenden Produktion, da neben dem „FairTrade-Gedanken"", der minimale Wasser- und Energieverbrauch einen weiteren Fokus in der Produktion bildet.
Made in Germany
Handgefertigt & sorgsam einzelverpackt. Alles in Norddeutschland vor den Toren Hamburgs.
Vegan
100% vegan, also ohne tierische Inhaltsstoffe.
Ressourcenschonend
Die Verpackung ist komplett aus Recycling-Karton. Durch das Verwenden von Handseife im Stück kann auf Extra-Plastik im Badezimmer verzichtet werden.
",wohnen,392.0,658.0,657.0,70.0,0.0,43.0,20.0
Costa Rica Cola,/194120-costa-rica-cola-el-puente,"
1,70
€
","
Versand 3,90 €
/
Versandkostenfrei ab 30,00 €
",El Puente GmbH,"El Puente - Fair-TradeCosta Rica Cola - Fruchtgummi, 100 g","
Costa Rica Cola
Fruchtgummi, 100 g
Köstliche Fruchtgummis mit Rohrzucker und Costa Rica Cola von EL PUENTE.
Unsere kleine Nascherei im Fläschchen-Format ist koffeinhaltig.
Zutaten:
Glukosesirup, Rohrohrzucker°, Gelatine, Säuerungsmittel Citronensäure, Karamellzuckersirup, Colagrundstoff (natürliches Aroma, Farbstoff Ammonsulfit-Zuckerkulör, Säuerungsmittel Phosphorsäure, Aroma Koffein), natürliches Aroma, Überzugsmittel Carnaubawachs
°aus Fairem Handel, Fair-Handelsanteil der Zutaten insgesamt: 30%
Enthält Koffein (3 mg/100 g). Für Kinder und schwangere Frauen nicht empfohlen.
Allergiehinweise:
glutenfrei, eifrei, hefefrei, milchfrei, nussfrei 
Manduvira Ltda.
Die Bauern der paraguayischen Kooperative Manduvira aus der Region Arroyos y Estaros in Paraguay bauen Zuckerrohr und Sesam in Bio-Qualität an. Auch die Weiterverarbeitung vor Ort ist bio-zertifiziert. Durch Instandsetzung sanitärer Anlagen oder medizinische Versorgung profitieren die Bauern und die lokale Umgebung vom Fairen Handel.
Die Kooperative Manduvira wurde 1975 gegründet und zählt heute über 1.000 Mitglieder. Hauptanbauprodukte sind Zuckerrohr und Sesam. Sowohl Anbau als auch die Weiterverarbeitung sind bio-zertifiziert. Der Zucker aus Paraguay versüßt verschiedene Naschprodukte von El Puente.
Die Bauern der Kooperative und die lokale Umgebung profitieren vom Fairen Handel. Manduvira realisiert verschiedene soziale Gemeinschaftsprojekte wie beispielsweise den Bau und die Besetzung eines medizinischen Versorgungspostens, Beschaffung von Arbeitsgeräten und Maschinen oder Instandsetzung sanitärer Anlagen. Alle Beteiligten erhielten einen Zugang zu fließend Wasser und Strom. Allen Mitgliedern stehen verschiedene Kurse, Workshops und Weiterbildungsseminare zur Verfügung. Ein Teil der Fairhandels-Prämie wird den Bauern bar ausgezahlt. Die Kooperativenmitglieder entscheiden zusammen, was mit den Prämien realisiert werden soll. Demokratische Grundstrukturen sichern eine gute Organisation der Kooperative - sowohl die internen Abläufe betreffend als auch die Kontakte nach außen.
EAN
4030254316660
MPN
PY3-10-203
","
Avocadostore-Kriterien
Fair & Sozial
Wir zahlen gerechtere, von den Produzenten kalkulierte Preise. Geltende Fairhandels-Mindestpreise stellen für El Puente das absolute Minimum dar, unsere Zahlungen gehen zumeist darüber hinaus. Durch eine zinsfreie Vorfinanzierung von bis zu 100 % können unsere Handelspartner unabhängiger wirtschaften. Zudem profitieren sie von Preisaufschlägen für soziale Projekte. So entstehen neue Schulen, Straßen oder Gesundheitsangebote. 
CO₂-Sparend
Fairer Handel bedeutet für uns auch Umweltschutz. Deshalb achten wir bei El Puente darauf, unseren CO2-Ausstoß zu minimieren. Dafür nutzen wir seit vielen Jahren unsere eigene Regenwassernutzungsanlage, eigene Photovoltaik- und Solarthermie-Anlagen sowie Ökostrom und Restwärme der benachbarten Naturgas-/Biogasanlage. Alle Emissionen, die nicht vermieden werden können, werden noch in diesem Jahr du
",wohnen,0.0,0.0,0.0,0.0,0.0,0.0,0.0
